train/along-came-polly-00110001.jpg 0.396013,0.196543,0.207853,0.607853,0.560050,0.578820,0.236800,0.462685,0.661367,0.443329,0.294696,0.283644,0.584173,0.278805 4.3224,475.6517,1,480,0.53333 0
train/battle-cry-00060791.jpg 0.267893,0.281634,0.116531,0.595922,0.331254,0.634767,0.162291,0.493514,0.531896,0.595922,0.239733,0.345198,0.479096,0.366386 268.6414,611.4762,1,480,0.53333 0
train/battle-cry-00061301.jpg 0.271028,0.209785,0.215194,0.380825,0.441813,0.568311,0.162645,0.440031,0.399117,0.456477,0.228331,0.315040,0.382695,0.328197 334.8809,641.8299,9.7441,470.168,0.5548 0
train/2-fast-2-furious-00104481_2.jpg 0.328217,0.202926,0.157024,0.728460,0.591590,0.679191,0.163609,0.567515,0.604759,0.488685,0.206407,0.396717,0.489533,0.363871 314.662,578.8615,8.8144,405.1137,0.64435 0
train/monster-in-law-d1-00120251.jpg 0.287480,0.221765,0.208450,0.627011,0.412611,0.594064,0.208450,0.488634,0.415904,0.465571,0.221621,0.337078,0.386268,0.323900 54.835,268.7128,33.1498,353.9664,0.79548 0
train/along-came-polly-00034821.jpg 0.429502,0.314186,0.246122,0.253078,0.547679,0.595284,0.250197,0.358998,0.535454,0.509732,0.339850,0.371220,0.523229,0.387516 406.2223,640.5546,1,285.5067,0.89665 0
train/ten-commandments-disc1-00071491.jpg 0.364021,0.187574,0.256722,0.505201,0.531409,0.513785,0.166590,0.393602,0.604373,0.402187,0.273890,0.282004,0.492781,0.307757 85.5033,503.5862,1,480,0.53333 0
train/the-departed-00013401.jpg 0.298255,0.256507,0.357613,0.555956,0.291660,0.532922,0.189433,0.575700,0.426863,0.575700,0.199326,0.381552,0.426863,0.355227 359.9061,604.9391,99.7536,467.3032,0.69461 0
train/along-came-polly-00042401.jpg 0.302814,0.182880,0.144282,0.256986,0.443730,0.489892,0.151328,0.348737,0.493051,0.412257,0.239401,0.264044,0.436684,0.288746 84.1839,422.6998,1,473.2985,0.54088 0
train/american-wedding-unrated6x9-00011441.jpg 0.414750,0.321194,0.418863,0.502545,0.550469,0.762208,0.266694,0.638559,0.546356,0.572613,0.254356,0.436599,0.472328,0.411870 125.2298,524.2423,3.4978,480,0.53612 0
train/funny-girl-dvd-video-00086981.jpg 0.265454,0.239056,0.028250,0.288519,0.670676,0.394041,0.110613,0.334685,0.515835,0.397339,0.216036,0.318197,0.374172,0.334685 395.608,640.1258,79.3623,446.1393,0.69607 0
train/million-dollar-baby-disc-00016821.jpg 0.325220,0.276744,0.230659,0.705072,0.480300,0.742977,0.211747,0.572404,0.472735,0.576195,0.245789,0.375298,0.461387,0.398041 152.7914,520.08,2.9493,480,0.53551 0
